The Lotto Numbers are: [41, 19, 26, 40, 7, 17], Your Numbers are: [16, 23, 7, 13, 24, 36], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 10:13:59.139833
The Lotto Numbers are: [32, 42, 23, 47, 21, 40], Your Numbers are: [4, 13, 23, 33, 10, 25], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:23:18.024687
prize is: {'R0'}The Lotto Numbers are: [47, 41, 7, 43, 45, 6], Your Numbers are: [4, 13, 23, 33, 10, 25], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:23:18.024687
prize is: {'R0'}The Lotto Numbers are: [32, 4, 29, 3, 38, 13], Your Numbers are: [4, 13, 23, 33, 10, 25], Your Total Winnings are: {'R20.00'} & Lotto Played at: 2021-06-21 14:23:18.024687
prize is: {'R20.00'}The Lotto Numbers are: [47, 45, 36, 34, 28, 6], Your Numbers are: [7, 23, 13, 4, 35, 42], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:27:46.320694
prize is: {'R0'}The Lotto Numbers are: [17, 21, 4, 10, 42, 9], Your Numbers are: [7, 23, 13, 4, 35, 42], Your Total Winnings are: {'R20.00'} & Lotto Played at: 2021-06-21 14:27:46.320694
prize is: {'R20.00'}The Lotto Numbers are: [11, 6, 4, 19, 31, 37], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [31, 11, 20, 41, 1, 34], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [48, 26, 39, 38, 46, 45], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [43, 48, 35, 12, 5, 41], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [48, 3, 4, 27, 45, 34], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [13, 33, 36, 22, 2, 37], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [35, 24, 9, 38, 1, 2], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [47, 46, 27, 22, 42, 37], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [12, 47, 29, 21, 13, 42], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R0'} & Lotto Played at: 2021-06-21 14:29:14.910439
prize is: {'R0'}The Lotto Numbers are: [28, 43, 36, 23, 31, 20], Your Numbers are: [23, 7, 14, 25, 43, 30], Your Total Winnings are: {'R20.00'} & Lotto Played at: 2021-06-21 14:29:14.910439
